OBJECTID *;Shape *;REGN;SOATO;CATEGORY;NAMEOBJECT;NAME;Район;Name_categ;y;x;;
194;Точка;17043;6204501000;113;Березино;Город районного подчинения-АТЕ;Березинский;г. Березино;53.835512;28.983114;;Минская
196;Точка;17030;5000000000;111;Минск;Столица Республики Беларусь;Минский;г. Минск;53.894715;27.614665;;Минск
133;Точка;17025;4401000000;112;Гродно;Город областного подчинения-АТЕ;Гродненский;г. Гродно;53.678133;23.833015;;Гродненская
154;Точка;16571;4258566000;121;Острино;Поселок городского типа - городской поселок-АТЕ;Щучинский;гп Острино;53.734016;24.528645;;Гродненская
153;Точка;16570;4258557000;121;Желудок;Поселок городского типа - городской поселок-АТЕ;Щучинский;гп Желудок;53.597464;24.979414;;Гродненская
150;Точка;16569;4258501000;113;Щучин;Город районного подчинения-АТЕ;Щучинский;г. Щучин;53.606372;24.73612;;Гродненская
138;Точка;16231;4256501000;113;Сморгонь;Город районного подчинения-АТЕ;Сморгонский;г. Сморгонь;54.486497;26.394062;;Гродненская
155;Точка;17029;4254501000;113;Слоним;Город районного подчинения-АТЕ;Слонимский;г. Слоним;53.085618;25.335415;;Гродненская
141;Точка;15910;4252557000;121;Порозово;Поселок городского типа - городской поселок-АТЕ;Свислочский;гп Порозово;52.938026;24.372262;;Гродненская
156;Точка;15909;4252501000;113;Свислочь;Город районного подчинения-АТЕ;Свислочский;г. Свислочь;53.035326;24.098822;;Гродненская
130;Точка;15530;4249501000;113;Ошмяны;Город районного подчинения-АТЕ;Ошмянский;г. Ошмяны;54.423644;25.943352;;Гродненская
137;Точка;15116;4246501000;113;Островец;Город районного подчинения-АТЕ;Островецкий;г. Островец;54.602134;25.963562;;Гродненская
140;Точка;14884;4243859904;121;Любча;Поселок городского типа - городской поселок-АТЕ;Новогрудский;гп Любча;53.749281;26.06007;;Гродненская
132;Точка;14883;4243501000;213;Новогрудок;Город районного подчинения-ТЕ;Новогрудский;г. Новогрудок;53.593946;25.820329;;Гродненская
